card_id,disp_id,type,year,month,day,fulldate,date
V00001005,D00009285,VISA Signature,2013,11,7,2013-11-07,2013-11-07
V00000104,D00000588,VISA Signature,2014,1,19,2014-01-19,2014-01-19
V00000747,D00004915,VISA Signature,2014,2,5,2014-02-05,2014-02-05
V00000070,D00000439,VISA Signature,2014,2,8,2014-02-08,2014-02-08
V00000577,D00003687,VISA Signature,2014,2,15,2014-02-15,2014-02-15
V00000377,D00002429,VISA Signature,2014,3,3,2014-03-03,2014-03-03
V00000721,D00004680,VISA Standard,2014,4,5,2014-04-05,2014-04-05
V00000437,D00002762,VISA Signature,2014,6,1,2014-06-01,2014-06-01
V00000188,D00001146,VISA Signature,2014,6,19,2014-06-19,2014-06-19
V00000013,D00000087,VISA Signature,2014,6,29,2014-06-29,2014-06-29
V00000732,D00004763,VISA Signature,2014,7,21,2014-07-21,2014-07-21
V00000181,D00001066,VISA Signature,2014,8,19,2014-08-19,2014-08-19
V00000384,D00002475,VISA Standard,2014,9,15,2014-09-15,2014-09-15
V00000309,D00001946,VISA Signature,2014,9,19,2014-09-19,2014-09-19
V00000478,D00003084,VISA Signature,2014,10,9,2014-10-09,2014-10-09
V00000563,D00003589,VISA Signature,2014,10,21,2014-10-21,2014-10-21
V00000369,D00002363,VISA Signature,2014,11,8,2014-11-08,2014-11-08
